거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,지역코드,층,구분,건물m2당가격,토지m2당가격
32500,0,95.77,제1종근린생활,1998.0,2011,34.5,창신동,종로구,제2종일반주거,1,일반,4,11110,0.0,0,339.355,942.029
9500,0,8.41,판매,1997.0,2011,0.0,창신동,종로구,일반상업,1,집합,6,11110,6.0,0,1129.608,inf
9500,0,8.41,판매,1997.0,2011,0.0,창신동,종로구,일반상업,1,집합,6,11110,6.0,0,1129.608,inf
9500,0,8.41,판매,1997.0,2011,0.0,창신동,종로구,일반상업,1,집합,6,11110,6.0,0,1129.608,inf
45200,0,95.77,제1종근린생활,1998.0,2011,51.75,창신동,종로구,제2종일반주거,1,일반,13,11110,0.0,0,471.964,873.43
12000,0,35.67,업무,1997.0,2011,0.0,창신동,종로구,일반상업,1,집합,20,11110,8.0,0,336.417,inf
12000,0,35.67,업무,1997.0,2011,0.0,창신동,종로구,일반상업,1,집합,20,11110,8.0,0,336.417,inf
261700,0,951.73,기타,2001.0,2011,656.0,평창동,종로구,제1종전용주거,1,일반,12,11110,0.0,0,274.973,398.933
425000,0,732.15,제2종근린생활,2003.0,2011,274.4,옥인동,종로구,제2종일반주거,2,일반,28,11110,0.0,0,580.482,1548.834
157500,0,152.4,제2종근린생활,0.0,2011,130.9,필운동,종로구,제3종일반주거,2,일반,17,11110,0.0,0,1033.465,1203.209
73000,0,46.51,제1종근린생활,2008.0,2011,0.0,사직동,종로구,준주거,2,집합,15,11110,0.0,0,1569.555,inf
4800,0,13.02,제2종근린생활,2004.0,2011,0.0,내수동,종로구,준주거,2,집합,7,11110,-2.0,0,368.664,inf
4700,0,12.71,제2종근린생활,2004.0,2011,0.0,내수동,종로구,준주거,2,집합,7,11110,-2.0,0,369.788,inf
4800,0,13.02,제2종근린생활,2004.0,2011,0.0,내수동,종로구,준주거,2,집합,7,11110,-2.0,0,368.664,inf
4700,0,12.71,제2종근린생활,2004.0,2011,0.0,내수동,종로구,준주거,2,집합,7,11110,-2.0,0,369.788,inf
222000,0,65.29,제2종근린생활,0.0,2011,122.3,청진동,종로구,일반상업,2,일반,22,11110,0.0,0,3400.214,1815.209
50624270,0,39265.6,업무,1999.0,2011,0.0,서린동,종로구,일반상업,2,집합,28,11110,-1.0,0,1289.278,inf
2040154,0,1638.47,업무,1999.0,2011,0.0,서린동,종로구,일반상업,2,집합,28,11110,2.0,0,1245.158,inf
2435982,0,1847.94,업무,1999.0,2011,0.0,서린동,종로구,일반상업,2,집합,28,11110,2.0,0,1318.215,inf
199595,0,155.24,업무,1999.0,2011,0.0,서린동,종로구,일반상업,2,집합,28,11110,1.0,0,1285.719,inf
197000,0,132.66,제2종근린생활,1985.0,2011,63.1,관철동,종로구,일반상업,2,일반,23,11110,0.0,0,1484.999,3122.029
10000,0,4.99,판매,2004.0,2011,0.0,돈의동,종로구,일반상업,2,집합,17,11110,1.0,0,2004.008,inf
200000,0,429.36,제2종근린생활,1960.0,2011,157.0,장사동,종로구,일반상업,2,일반,16,11110,0.0,0,465.81,1273.885
130000,0,30.33,제1종근린생활,0.0,2011,62.8,종로3가,종로구,일반상업,2,일반,28,11110,0.0,0,4286.185,2070.064
230000,0,30.35,제1종근린생활,0.0,2011,56.2,종로3가,종로구,일반상업,2,일반,28,11110,0.0,0,7578.254,4092.527
20300,0,3.64,판매,0.0,2011,0.0,종로6가,종로구,일반상업,2,집합,7,11110,11.0,0,5576.923,inf
40700,0,7.77,판매,0.0,2011,0.0,종로6가,종로구,일반상업,2,집합,7,11110,11.0,0,5238.095,inf
185000,0,301.91,제2종근린생활,1978.0,2011,0.0,종로6가,종로구,일반상업,2,집합,9,11110,0.0,0,612.765,inf
38000,0,9.19,판매,1973.0,2011,0.0,종로6가,종로구,일반상업,2,집합,17,11110,2.0,0,4134.929,inf
12900,0,45.24,제2종근린생활,2003.0,2011,0.0,동숭동,종로구,제1종일반주거,2,집합,18,11110,1.0,0,285.146,inf
290000,0,679.58,제2종근린생활,1991.0,2011,326.9,혜화동,종로구,제2종일반주거,2,일반,28,11110,0.0,0,426.734,887.121
