,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
1,서울교통공사,4호선,당고개,서울특별시 노원구 상계동 111,서울특별시 노원구 상계로 305 ,127.0793058,37.6705563
2,서울교통공사,4호선,상계,서울특별시 노원구 상계동 156-203,서울특별시 노원구 상계로 182 ,127.0735256,37.6610953
3,서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5,서울특별시 노원구 상계로 69-1 ,127.0619911,37.6558674
4,서울교통공사,4호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로 11길 77 ,127.0481139,37.6531856
5,서울교통공사,4호선,쌍문,서울특별시 도봉구 창동 703-4,서울특별시 도봉구 도봉로 지하 486-1 ,127.0407797,37.6703415
6,서울교통공사,4호선,수유(강북구청),서울특별시 강북구 수유동 140,서울특별시 강북구 도봉로 지하 338 ,127.0166696,37.6424902
7,서울교통공사,4호선,미아,서울특별시 강북구 미아동 194-1,서울특별시 강북구 도봉로 지하 198 ,127.0241549,37.6360775
8,서울교통공사,4호선,미아사거리,서울특별시 강북구 미아동 66-1,서울특별시 강북구 도봉로 지하 50 ,127.030107,37.6425005
9,서울교통공사,4호선,길음,서울특별시 성북구 길음동 877-66,서울특별시 성북구 동소문로 지하 248 ,127.0236863,37.6029201
10,서울교통공사,4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1,서울특별시 성북구 동소문로 지하 102 ,127.0105768,37.5914212
11,서울교통공사,4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14,서울특별시 성북구 삼선교로 지하 1 ,127.0142965,37.5902583
12,서울교통공사,4호선,혜화,서울특별시 종로구 명륜4가 96-5,서울특별시 종로구 대학로 지하 120 ,127.0022445,37.5818389
13,서울교통공사,4호선,동대문,서울특별시 종로구 종로6가 287-1,서울특별시종로구 율곡로 지하 308 ,127.008951,37.5704134
14,서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9,서울특별시 중구 장충단로 지하 230 ,127.0105375,37.5686858
15,서울교통공사,4호선,충무로,서울특별시 중구 필동2가 16-2 ,서울특별시 중구 퇴계로 지하 199 ,126.9943108,37.5612644
16,서울교통공사,4호선,명동,서울특별시 중구 충무로2가 109-2,서울특별시 중구 퇴계로 지하 126 ,126.9667289,37.5658503
17,서울교통공사,4호선,회현(남대문시장),서울특별시 중구 남창동 64-1,서울특별시 중구 퇴계로 지하 54 ,126.9945971,37.5609724
18,서울교통공사,4호선,서울역,서울특별시 용산구 동자동 14-151 ,서울특별시 용산구 한강대로 지하 392 ,126.972922,37.5516714
19,서울교통공사,4호선,숙대입구(갈월),서울특별시 용산구 갈월동 16-7,서울특별시 용산구 한강대로 지하 306,126.972922,37.5516714
20,서울교통공사,4호선,삼각지,서울특별시 용산구 한강로1가 228-1,서울특별시 용산구 한강대로 지하 180,127.0388462,37.4954178
21,서울교통공사,4호선,신용산,서울특별시 용산구 한강로2가 181,서울특별시 용산구 한강대로 지하 112,126.9705824,37.530789
22,서울교통공사,4호선,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112,서울특별시 용산구 서빙고로 지하 83,126.9677397,37.5400249
23,서울교통공사,4호선,동작(현충원),서울특별시 동작구 동작동 327-1,서울특별시 동작구 현충로 257,126.9799265,37.5034647
24,서울교통공사,4호선,총신대입구(이수),서울특별시 동작구 사당동 736-1,서울특별시 동작구 동작대로 지하 117,126.981777,37.485906
25,서울교통공사,4호선,사당,서울특별시 동작구 사당동 588-44,서울특별시동작구 동작대로 지하 3,126.980963,37.4849508
26,서울교통공사,4호선,남태령,서울특별시 서초구 방배동 2909,서울특별시 서초구 과천대로 지하 816,126.9892695,37.4643638
