거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"87,500",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오4단지,1,3,11440-5410,84.5978,,777,11440,17,,
"84,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오4단지,1,4,11440-5410,84.5978,,777,11440,19,,
"24,800",,2016,2017,굴레방로1길,00025,00000,11440,00,0,4139023,아현동,0780,0000,11440,10100,1,애오개아이파크,1,6,11440-5634,26.7,,780,11440,10,,
"80,500",,2015,2017,마포대로24길,00016,00000,11440,00,0,4139154,아현동,0800,0000,11440,10100,1,공덕자이,1,7,11440-5458,84.99,,800,11440,8,,
"40,385",,1970,2017,마포대로,00236,00000,11440,01,0,2113001,아현동,0371,0001,11440,10100,1,예미원,1,10,11440-5233,71.1,,371-1,11440,5,,
"70,500",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오1단지,1,10,11440-5407,59.9236,,777,11440,13,,
"80,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오1단지,1,13,11440-5407,84.5978,,777,11440,14,,
"78,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오1단지,1,13,11440-5407,84.5978,,777,11440,2,,
"66,200",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오2단지,1,14,11440-5406,59.9656,,777,11440,2,,
"87,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오4단지,1,20,11440-5410,84.5978,,777,11440,25,,
"65,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오2단지,1,21,11440-5406,59.9656,,777,11440,4,,
"63,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오3단지,1,25,11440-5408,59.9236,,777,11440,5,,
"66,000",,2014,2017,마포대로,00195,00000,11440,01,0,2113001,아현동,0777,0000,11440,10100,1,마포래미안푸르지오3단지,1,25,11440-5408,59.9452,,777,11440,5,,
"66,900",,2005,2017,마포대로,00143,00000,11440,02,0,2113001,공덕동,0462,0000,11440,10200,1,마포공덕파크팰리스Ⅱ,1,4,11440-3915,119.07,,462,11440,16,,
