index,거래일,거래금액,m2당가격,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,지역코드,가격지수비율,환산가격,환산m2당가격,위경도,위도,경도
22,2019-08-18,40000,1289.387,31.0225,청담동 122-35,도산대로85길 30  ,청담신원아침도시마인,7,2013,청담동,11680,0.718,55710.306,1795.803,"{'lat': '37.5264326441473', 'lng': '127.049667021648'}",37.5264326441473,127.049667021648
23,2017-03-06,128000,2582.728,49.56,개포동 141,선릉로 7  ,개포주공1단지,2,1982,개포동,11680,0.642,199376.947,4022.941,"{'lat': '37.4784893722905', 'lng': '127.061614360667'}",37.4784893722905,127.061614360667
24,2017-12-30,75000,1250.208,59.99,세곡동 579,헌릉로571길 20  ,강남엘에이치1단지,1,2013,세곡동,11680,0.666,112612.613,1877.19,"{'lat': '37.4667907761882', 'lng': '127.10286961908'}",37.4667907761882,127.10286961908
25,2021-08-19,270000,3197.915,84.43,대치동 316,삼성로 212  ,은마,12,1979,대치동,11680,1.106,244122.966,2891.424,"{'lat': '37.4974180026259', 'lng': '127.065327020175'}",37.4974180026259,127.065327020175
26,2020-06-27,240000,2075.586,115.63,도곡동 467-17,언주로30길 57  ,타워팰리스2,28,2003,도곡동,11680,0.8026666666666668,299003.322,2585.863,"{'lat': '37.4897107879722', 'lng': '127.054490523453'}",37.4897107879722,127.054490523453
27,2017-08-02,117000,1376.471,85.0,청담동 127-31,도산대로101길 29  ,청담현대3차아파트,7,1999,청담동,11680,0.6646666666666667,176028.084,2070.919,"{'lat': '37.5269242818661', 'lng': '127.053071210331'}",37.5269242818661,127.053071210331
28,2020-12-28,225000,3024.194,74.4,압구정동 397,압구정로 113  ,미성2차,10,1987,압구정동,11680,0.9013333333333332,249630.178,3355.244,"{'lat': '37.5239469817757', 'lng': '127.018254311656'}",37.5239469817757,127.018254311656
29,2017-05-23,128000,2527.646,50.64,개포동 141,개포로 310  ,개포주공1단지,2,1982,개포동,11680,0.6466666666666666,197938.144,3908.731,"{'lat': '37.4784893722905', 'lng': '127.061614360667'}",37.4784893722905,127.061614360667
30,2017-12-28,85000,1003.66,84.69,대치동 910-5,역삼로 438  ,풍림아이원1차103동(910-5),6,2003,대치동,11680,0.666,127627.628,1506.998,"{'lat': '37.5017062540884', 'lng': '127.055065152882'}",37.5017062540884,127.055065152882
31,2021-01-22,412500,1686.013,244.66,도곡동 462-2,남부순환로378길 11  ,로덴하우스웨스트빌리지,7,2009,도곡동,11680,0.932,442596.567,1809.027,"{'lat': '37.4854795908144', 'lng': '127.046411249186'}",37.4854795908144,127.046411249186
32,2018-02-07,195000,1238.803,157.41,논현동 245,언주로130길 30  ,동양파라곤,3,2004,논현동,11680,0.6766666666666666,288177.34,1830.744,"{'lat': '37.5147469578798', 'lng': '127.038136684255'}",37.5147469578798,127.038136684255
33,2019-09-11,280000,5557.761,50.38,개포동 141,개포로 310  ,개포주공1단지,2,1982,개포동,11680,0.7213333333333334,388170.055,7704.844,"{'lat': '37.4784893722905', 'lng': '127.061614360667'}",37.4784893722905,127.061614360667
34,2019-10-03,160000,2025.573,78.99,도곡동 463-1,언주로29길 34  ,우성사원5,4,1986,도곡동,11680,0.728,219780.22,2782.38,"{'lat': '37.4859710758229', 'lng': '127.047581472593'}",37.4859710758229,127.047581472593
35,2020-06-15,115000,2323.232,49.5,수서동 746,광평로19길 10  ,까치마을,6,1993,수서동,11680,0.8026666666666668,143272.425,2894.392,"{'lat': '37.4847340598121', 'lng': '127.087618357538'}",37.4847340598121,127.087618357538
36,2017-10-18,134200,1747.623,76.79,대치동 316,삼성로 212  ,은마,13,1979,대치동,11680,0.668,200898.204,2616.203,"{'lat': '37.4974180026259', 'lng': '127.065327020175'}",37.4974180026259,127.065327020175
37,2019-06-13,93500,2977.517,31.402,삼성동 16-2,학동로68길 29  ,삼성동힐스테이트 1단지,10,2008,삼성동,11680,0.7060000000000001,132436.261,4217.447,"{'lat': '37.5163123563071', 'lng': '127.048472953744'}",37.5163123563071,127.048472953744
38,2017-03-07,108200,1002.687,107.91,대치동 893,삼성로85길 11  ,롯데캐슬,4,2002,대치동,11680,0.642,168535.826,1561.818,"{'lat': '37.5047556849693', 'lng': '127.056448643486'}",37.5047556849693,127.056448643486
39,2020-04-16,184000,4324.324,42.55,개포동 141,개포로 310  ,개포주공1단지,2,1982,개포동,11680,0.7753333333333333,237317.283,5577.374,"{'lat': '37.4784893722905', 'lng': '127.061614360667'}",37.4784893722905,127.061614360667
40,2019-10-05,35800,858.925,41.68,역삼동 706-20,언주로86길 11  ,한화진넥스빌,18,2001,역삼동,11680,0.728,49175.824,1179.842,"{'lat': '37.5019559669632', 'lng': '127.044242152066'}",37.5019559669632,127.044242152066
41,2017-05-09,124000,1155.638,107.3,청담동 102-2,압구정로71길 30 11,연세힐하우스1,8,2003,청담동,11680,0.6466666666666666,191752.577,1787.07,"{'lat': '37.5284886833623', 'lng': '127.047368851488'}",37.5284886833623,127.047368851488
42,2020-02-19,230000,2705.933,84.9984,도곡동 527,선릉로 221  ,도곡렉슬,7,2006,도곡동,11680,0.7646666666666667,300784.656,3538.71,"{'lat': '37.4935418220116', 'lng': '127.050547158351'}",37.4935418220116,127.050547158351
43,2017-02-17,138500,2384.642,58.08,개포동 141,개포로 310  ,개포주공1단지,5,1982,개포동,11680,0.6393333333333334,216631.908,3729.888,"{'lat': '37.4784893722905', 'lng': '127.061614360667'}",37.4784893722905,127.061614360667
44,2019-09-20,280000,1743.896,160.56,도곡동 467-17,언주로30길 57  ,타워팰리스2,5,2003,도곡동,11680,0.7213333333333334,388170.055,2417.601,"{'lat': '37.4897107879722', 'lng': '127.054490523453'}",37.4897107879722,127.054490523453
45,2019-05-31,125000,1160.093,107.75,신사동 622-1,언주로167길 9  ,압구정케이씨씨(622-1),4,2004,신사동,11680,0.7,178571.429,1657.275,"{'lat': '37.5261273367855', 'lng': '127.032437605375'}",37.5261273367855,127.032437605375
46,2018-07-23,228000,2683.3,84.97,대치동 1027,삼성로51길 37  ,래미안대치팰리스,19,2015,대치동,11680,0.6873333333333332,331716.78,3903.928,"{'lat': '37.4942977651239', 'lng': '127.058003438015'}",37.4942977651239,127.058003438015
47,2020-07-28,115000,1355.014,84.87,논현동 103,도산대로50길 43  ,쌍용,4,1996,논현동,11680,0.83,138554.217,1632.546,"{'lat': '37.5196304885538', 'lng': '127.038130798745'}",37.5196304885538,127.038130798745
48,2020-11-28,155000,1826.968,84.84,세곡동 579,헌릉로571길 20  ,강남엘에이치1단지,6,2013,세곡동,11680,0.8806666666666666,176003.028,2074.529,"{'lat': '37.4667907761882', 'lng': '127.10286961908'}",37.4667907761882,127.10286961908
49,2020-12-09,168500,1620.037,104.01,도곡동 869,논현로 218  ,삼익,10,1983,도곡동,11680,0.9013333333333332,186945.266,1797.378,"{'lat': '37.4907926735889', 'lng': '127.042278226131'}",37.4907926735889,127.042278226131
50,2019-09-22,230000,2787.879,82.5,압구정동 443,압구정로39길 58  ,현대3차(61~64동),12,1976,압구정동,11680,0.7213333333333334,318853.974,3864.897,"{'lat': '37.5312605498424', 'lng': '127.026959142327'}",37.5312605498424,127.026959142327
51,2020-07-04,129500,1732.673,74.74,세곡동 533,자곡로 21  ,세곡푸르지오,9,2012,세곡동,11680,0.83,156024.096,2087.558,"{'lat': '37.4667793397486', 'lng': '127.092967002535'}",37.4667793397486,127.092967002535
52,2021-01-09,225000,2727.273,82.5,압구정동 443,압구정로39길 58  ,현대3차(61~64동),2,1976,압구정동,11680,0.932,241416.309,2926.258,"{'lat': '37.5312605498424', 'lng': '127.026959142327'}",37.5312605498424,127.026959142327
53,2021-04-06,217500,2832.4,76.79,대치동 316,삼성로 212  ,은마,8,1979,대치동,11680,0.9879999999999999,220141.7,2866.802,"{'lat': '37.4974180026259', 'lng': '127.065327020175'}",37.4974180026259,127.065327020175
54,2017-06-14,117000,1602.301,73.02,개포동 185,개포로 516  ,개포주공6단지,1,1983,개포동,11680,0.6539999999999999,178899.083,2450.001,"{'lat': '37.4888762938306', 'lng': '127.071667715752'}",37.4888762938306,127.071667715752
55,2020-09-25,74000,1138.286,65.01,신사동 551-5,논현로159길 56  ,하야트빌,2,2005,신사동,11680,0.8526666666666667,86786.552,1334.972,"{'lat': '37.5218442295287', 'lng': '127.023780855559'}",37.5218442295287,127.023780855559
56,2017-05-26,106000,1295.21,81.84,청담동 30-33,학동로77길 27  ,청담대림이-편한세상,10,2002,청담동,11680,0.6466666666666666,163917.526,2002.902,"{'lat': '37.5205048036403', 'lng': '127.047836421504'}",37.5205048036403,127.047836421504
57,2021-07-08,218000,3634.436,59.9818,도곡동 527,선릉로 221  ,도곡렉슬,14,2006,도곡동,11680,1.074,202979.516,3384.018,"{'lat': '37.4935418220116', 'lng': '127.050547158351'}",37.4935418220116,127.050547158351
58,2017-03-10,72000,1408.451,51.12,개포동 12,개포로109길 21  ,삼익대청아파트,10,1992,개포동,11680,0.642,112149.533,2193.848,"{'lat': '37.4941848052623', 'lng': '127.075215384158'}",37.4941848052623,127.075215384158
59,2017-09-24,173000,1442.982,119.8906,도곡동 527,선릉로 221  ,도곡렉슬,13,2006,도곡동,11680,0.6653333333333333,260020.04,2168.811,"{'lat': '37.4935418220116', 'lng': '127.050547158351'}",37.4935418220116,127.050547158351
60,2017-05-05,47000,795.599,59.075,논현동 196,강남대로112길 41  ,거평프리젠,11,1996,논현동,11680,0.6466666666666666,72680.412,1230.307,"{'lat': '37.5063698187338', 'lng': '127.02763715364'}",37.5063698187338,127.02763715364
61,2017-07-01,142000,1670.62,84.9984,도곡동 527,선릉로 221  ,도곡렉슬,6,2006,도곡동,11680,0.662,214501.511,2523.595,"{'lat': '37.4935418220116', 'lng': '127.050547158351'}",37.4935418220116,127.050547158351
62,2017-07-14,140000,1669.449,83.86,도곡동 464,언주로 123  ,한신(개포),6,1985,도곡동,11680,0.662,211480.363,2521.826,"{'lat': '37.4868899273565', 'lng': '127.048897057659'}",37.4868899273565,127.048897057659
63,2019-09-06,182000,2492.468,73.02,개포동 185,개포로 516  ,개포주공6단지,13,1983,개포동,11680,0.7213333333333334,252310.536,3455.362,"{'lat': '37.4888762938306', 'lng': '127.071667715752'}",37.4888762938306,127.071667715752
64,2017-06-04,98000,1241.606,78.93,개포동 179,개포로 411  ,우성8,9,1987,개포동,11680,0.6539999999999999,149847.095,1898.481,"{'lat': '37.4881845388175', 'lng': '127.06238827098'}",37.4881845388175,127.06238827098
65,2021-11-20,46000,1055.53,43.58,역삼동 706-20,언주로86길 11  ,한화진넥스빌,17,2001,역삼동,11680,1.1333333333333333,40588.235,931.35,"{'lat': '37.5019559669632', 'lng': '127.044242152066'}",37.5019559669632,127.044242152066
66,2017-06-01,117000,1523.636,76.79,대치동 316,삼성로 212  ,은마,14,1979,대치동,11680,0.6539999999999999,178899.083,2329.718,"{'lat': '37.4974180026259', 'lng': '127.065327020175'}",37.4974180026259,127.065327020175
67,2019-10-16,98000,1636.333,59.89,세곡동 533,자곡로 21  ,세곡푸르지오,10,2012,세곡동,11680,0.728,134615.385,2247.711,"{'lat': '37.4667793397486', 'lng': '127.092967002535'}",37.4667793397486,127.092967002535
68,2019-04-02,70750,2132.309,33.18,수서동 736,광평로47길 17  ,신동아,6,1992,수서동,11680,0.6986666666666667,101264.313,3051.968,"{'lat': '37.4870725721397', 'lng': '127.098442914101'}",37.4870725721397,127.098442914101
69,2019-08-17,122700,1088.248,112.75,도곡동 957-11,남부순환로 2615  ,도곡스타클래스,10,2007,도곡동,11680,0.718,170891.365,1515.666,"{'lat': '37.4851446066305', 'lng': '127.035756944152'}",37.4851446066305,127.035756944152
70,2017-06-02,160000,1896.858,84.35,대치동 506,삼성로 151  ,선경1차(1동-7동),7,1983,대치동,11680,0.6539999999999999,244648.318,2900.395,"{'lat': '37.4921265332679', 'lng': '127.062565123948'}",37.4921265332679,127.062565123948
71,2018-02-13,69700,1416.667,49.2,수서동 708,광평로51길 27  ,삼익,15,1992,수서동,11680,0.6766666666666666,103004.926,2093.596,"{'lat': '37.4891612481309', 'lng': '127.100945930371'}",37.4891612481309,127.100945930371
72,2017-04-22,98000,1601.569,61.19,개포동 187,삼성로4길 17  ,개포주공5단지,13,1983,개포동,11680,0.6426666666666667,152489.627,2492.068,"{'lat': '37.4876228868467', 'lng': '127.068503584968'}",37.4876228868467,127.068503584968
73,2020-12-03,100000,3013.864,33.18,개포동 12,개포로109길 9  ,성원대치2단지아파트,6,1992,개포동,11680,0.9013333333333332,110946.746,3343.784,"{'lat': '37.4941848052623', 'lng': '127.075215384158'}",37.4941848052623,127.075215384158
74,2019-11-02,42000,954.762,43.99,역삼동 824-25,강남대로84길 33  ,대우디오빌플러스,7,2004,역삼동,11680,0.7353333333333333,57116.954,1298.408,"{'lat': '37.4975829773073', 'lng': '127.031110404052'}",37.4975829773073,127.031110404052
75,2019-07-25,350000,2282.361,153.35,압구정동 414,압구정로11길 17  ,미성1차,10,1982,압구정동,11680,0.7126666666666667,491113.19,3202.564,"{'lat': '37.5253062054352', 'lng': '127.020094666653'}",37.5253062054352,127.020094666653
76,2020-06-18,223000,2647.324,84.236,삼성동 50,삼성로111길 8  ,현대힐스테이트2단지,2,2008,삼성동,11680,0.8026666666666668,277823.92,3298.161,"{'lat': '37.5138589096778', 'lng': '127.051485875359'}",37.5138589096778,127.051485875359
77,2019-10-31,162800,2731.269,59.606,역삼동 755-4,선릉로69길 20  ,e-편한세상,3,2005,역삼동,11680,0.728,223626.374,3751.743,"{'lat': '37.4987776755024', 'lng': '127.049878493722'}",37.4987776755024,127.049878493722
78,2020-11-07,190000,3519.822,53.98,개포동 187,삼성로4길 17  ,개포주공5단지,7,1983,개포동,11680,0.8806666666666666,215745.647,3996.77,"{'lat': '37.4876228868467', 'lng': '127.068503584968'}",37.4876228868467,127.068503584968
79,2020-02-26,206000,1533.879,134.3,개포동 12-2,개포로109길 69  ,개포자이(12-2),7,2004,개포동,11680,0.7646666666666667,269398.431,2005.945,"{'lat': '37.4962962191109', 'lng': '127.076625397621'}",37.4962962191109,127.076625397621
80,2021-02-10,120500,864.729,139.35,논현동 192-3,논현로113길 5  ,논현동프라임,4,2004,논현동,11680,0.9553333333333334,126133.985,905.16,"{'lat': '37.5081771663548', 'lng': '127.032832479505'}",37.5081771663548,127.032832479505
81,2017-08-01,120000,1566.58,76.6,대치동 602,남부순환로395길 10  ,선경3차,5,1990,대치동,11680,0.6646666666666667,180541.625,2356.94,"{'lat': '37.4941781606738', 'lng': '127.060948083322'}",37.4941781606738,127.060948083322
82,2020-02-17,231000,2717.698,84.9984,도곡동 527,선릉로 221  ,도곡렉슬,10,2006,도곡동,11680,0.7646666666666667,302092.415,3554.095,"{'lat': '37.4935418220116', 'lng': '127.050547158351'}",37.4935418220116,127.050547158351
83,2020-06-16,175000,2060.035,84.95,일원동 734,광평로10길 15  ,상록수,3,1993,일원동,11680,0.8026666666666668,218023.256,2566.489,"{'lat': '37.4815500818027', 'lng': '127.08209044113'}",37.4815500818027,127.08209044113
84,2017-04-29,61000,1543.132,39.53,개포동 12,개포로109길 9  ,성원대치2단지아파트,10,1992,개포동,11680,0.6426666666666667,94917.012,2401.139,"{'lat': '37.4941848052623', 'lng': '127.075215384158'}",37.4941848052623,127.075215384158
85,2017-12-26,120000,1168.566,102.69,청담동 109-16,도산대로89길 35  ,청담범신칼릭스빌2차,7,2007,청담동,11680,0.666,180180.18,1754.603,"{'lat': '37.5267329565272', 'lng': '127.051745983651'}",37.5267329565272,127.051745983651
