거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"100,000",,2008,2010,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),1,20,11110-2203,136.4,,9,11110,7,,
"110,000",,2004,2010,경희궁2길,00005,00005,11110,01,0,4100005,내수동,0110,0015,11110,11800,1,킹스매너,1,8,11110-118,194.43,,110-15,11110,6,,
"26,500",,2005,2010,율곡로2길,00007,00000,11110,01,0,4100234,수송동,0085,0000,11110,12400,1,로얄팰리스스위트,1,11,11110-205,40.07,,85,11110,8,,
"30,000",,1999,2010,혜화로3길,00005,00000,11110,02,0,4100545,명륜2가,0237,0000,11110,17100,1,아남3,1,13,11110-26,47.43,,237,11110,4,,
"25,900",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,1,5,11110-91,64.66,,703,11110,3,,
"25,300",,1992,2010,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,1,7,11110-37,54.7,,702,11110,2,,
"25,000",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,1,8,11110-91,64.66,,703,11110,11,,
"27,900",,1992,2010,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,1,11,11110-37,54.7,,702,11110,11,,
"27,800",,1992,2010,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,1,15,11110-37,54.7,,702,11110,13,,
"26,800",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,1,18,11110-91,64.66,,703,11110,11,,
"26,500",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,1,19,11110-91,64.66,,703,11110,10,,
"29,000",,1973,2010,창신길,00020,00000,11110,01,0,4100453,창신동,0578,0005,11110,17400,1,동대문맨션,1,25,11110-31,83.83,,578-5,11110,8,,
"22,700",,1996,2010,창신7가길,00014,00006,11110,01,0,4100449,창신동,0640,0076,11110,17400,1,유성,1,25,11110-38,59.85,,640-76,11110,4,,
"49,800",,2004,2010,종로,00347,00000,11110,14,0,3100013,숭인동,0076,0000,11110,17500,1,롯데캐슬천지인,1,18,11110-152,84.95,,76,11110,9,,
"74,000",,2008,2010,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,25,11110-2224,114.67,,2-1,11110,10,,
"53,000",,2008,2010,동망산길,00047,00000,11110,02,0,4100065,숭인동,0002,0001,11110,17500,1,종로센트레빌,1,27,11110-2224,84.92,,2-1,11110,3,,
"25,000",,1998,2010,평창문화로,00172,00000,11110,00,,3100023,평창동,0596,0000,11110,18300,1,삼성,1,4,11110-73,59.97,,596,11110,3,,
"90,000",,2004,2010,평창문화로,00118,00000,11110,01,0,3100023,평창동,0045,0000,11110,18300,1,벽산블루밍평창힐스,1,13,11110-146,152.06,,45,11110,5,,
"25,500",,1998,2010,평창문화로,00172,00000,11110,00,,3100023,평창동,0596,0000,11110,18300,1,삼성,1,18,11110-73,59.97,,596,11110,7,,
"37,000",,2002,2010,창의문로5길,00007,00000,11110,01,0,4100461,부암동,0265,0010,11110,18400,1,프라임캐슬(케이빌라트),1,20,11110-151,109.54,,265-10,11110,2,,
"23,500",,1998,2010,진흥로,00480,00000,11110,02,0,3100020,신영동,0254,0000,11110,18600,1,대아파크빌,1,26,11110-86,59.22,,254,11110,13,,
"53,490",,2000,2010,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,11,11110-90,84.92,,82,11110,13,,
"54,990",,2000,2010,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,15,11110-90,84.92,,82,11110,11,,
"50,490",,2000,2010,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,18,11110-90,84.92,,82,11110,4,,
"65,670",,2000,2010,통일로,00246,00020,11110,06,0,3000008,무악동,0082,0000,11110,18700,1,현대,1,31,11110-90,114.9,,82,11110,8,,
"10,000",,1999,2010,자하문로,00055,00000,11110,08,0,3100012,통인동,0005,0001,11110,10800,1,효자,2,15,11110-204,43.31,,5-1,11110,3,,
"77,750",,2008,2010,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),2,24,11110-2203,95.88,,9,11110,9,,
"200,000",,2004,2010,사직로8길,00034,00000,11110,05,0,4100135,내수동,0072,0000,11110,11800,1,경희궁의아침3단지,2,26,11110-116,174.55,,72,11110,16,,
"18,950",,2003,2010,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,2,2,11110-102,46.64,,55,11110,4,,
"12,000",,2003,2010,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,2,5,11110-102,28.1,,55,11110,7,,
"17,100",,2003,2010,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,2,10,11110-102,36.08,,55,11110,8,,
"45,000",,2006,2010,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,2,9,11110-2155,92.81,,48-2,11110,11,,
"34,600",,2003,2010,혜화로5길,00049,00000,11110,01,0,4100546,명륜1가,0036,0005,11110,17000,1,대보,2,6,11110-129,80.77,,36-5,11110,3,,
"54,000",,1995,2010,창경궁로,00265,00000,11110,07,0,3005008,명륜2가,0004,0000,11110,17100,1,아남1,2,1,11110-25,84.9,,4,11110,15,,
"29,300",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,2,2,11110-91,79.87,,703,11110,2,,
"25,500",,2002,2010,창신길,00140,00010,11110,01,0,4100453,창신동,0601,0008,11110,17400,1,MID그린(7동),2,5,11110-100,59.04,,601-8,11110,3,,
"27,500",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,2,6,11110-91,64.66,,703,11110,6,,
"25,300",,1966,2010,지봉로,00025,00000,11110,01,0,3005007,창신동,0328,0017,11110,17400,1,동대문,2,8,11110-30,28.8,,328-17,11110,4,,
"27,500",,1992,2010,동망산길,00019,00000,11110,01,0,4100065,창신동,0702,0000,11110,17400,1,창신쌍용1,2,9,11110-37,54.7,,702,11110,13,,
"25,000",,2002,2010,창신길,00140,00015,11110,01,0,4100453,창신동,0601,0004,11110,17400,1,MID그린(5동),2,10,11110-98,59.04,,601-4,11110,3,,
"39,000",,2003,2010,지봉로,00087,00000,11110,01,0,3005007,창신동,0023,0816,11110,17400,1,창신이수,2,11,11110-42,84.5,,23-816,11110,3,,
"24,000",,1993,2010,낙산길,00198,00000,11110,02,0,4100020,창신동,0703,0000,11110,17400,1,창신쌍용2,2,11,11110-91,54.7,,703,11110,12,,
