level_0,index,거래일,거래금액,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,구,환산가격,환산m2당가격,인구밀도,학원갯수,위경도,위도,경도,역거리,공원거리,대학거리,대형병원거리,전통시장거리,상권거리,투기지구,강남3구,마용성,노도강
2025,227674,2017-08-02,54000,84.64,길음동 1281,길음로 118.0 0.0,길음뉴타운4단지(e편한세상),3,2005.0,길음동,성북구,64036.043,756.57,38593.0,153.0,"{'lat': '37.6120673819839', 'lng': '127.019648869071'}",37.6120673819839,127.019648869071,1.0257471514954983,1.79189061033452,0.6524115405030484,2.471450237158487,0.981064515645246,0.9066943678046975,0,0,0,0
2028,133443,2018-01-17,42000,84.9829,방화동 880,금낭화로24가길 28.0 0.0,치현마을동일스위트리버,2,2004.0,방화동,강서구,50322.608,592.15,11188.0,108.0,"{'lat': '37.5792934130853', 'lng': '126.815824055163'}",37.5792934130853,126.815824055163,0.34061022294092475,0.09674021180887578,4.083057321569536,7.839096760297204,0.9330152899654406,2.0852579752433416,1,0,0,0
2029,353685,2019-07-09,155000,84.79,신천동 17,올림픽로 435.0 0.0,파크리오,31,2008.0,신천동,송파구,180451.991,2128.223,9881.0,108.0,"{'lat': '37.5205366173754', 'lng': '127.10615089337'}",37.5205366173754,127.10615089337,0.20935528993862296,1.483007125595063,2.2808430896596827,0.5864637652880845,1.5119705185995802,0.7111434931270755,1,1,0,0
2034,386490,2017-05-11,31000,84.15,신림동 1693,호암로 417.0 0.0,국제산장,7,1993.0,신림동,관악구,37200.146,442.069,23141.81818181818,326.0,"{'lat': '37.4608369090379', 'lng': '126.927805429571'}",37.4608369090379,126.927805429571,2.603431744164074,1.016721873113822,2.892232468902772,5.147547841855585,1.181846617616285,1.4418849148924566,0,0,0,0
2037,103302,2022-01-19,220000,84.94,청담동 134-16,학동로105길 30.0 0.0,신동아,2,1997.0,청담동,강남구,219046.414,2578.837,11121.0,119.0,"{'lat': '37.5229449403418', 'lng': '127.058729693643'}",37.5229449403418,127.058729693643,0.6193222235688113,0.5820864553556826,2.5357620426188543,2.271383206582413,0.11059828064704413,0.22399570151294368,1,1,0,0
2041,311327,2018-03-09,31800,84.6,신사동 19-117,가좌로 342.0 0.0,홍익,10,1995.0,신사동,은평구,36174.56,427.595,17944.75,568.0,"{'lat': '37.5975063938178', 'lng': '126.908097175525'}",37.5975063938178,126.908097175525,0.6702072478146214,0.9054894377286946,0.5944432358828873,4.866357962096761,0.9830093833945384,2.3445850719004477,0,0,0,0
2044,181899,2017-06-01,58000,84.79,신길동 4780,여의대방로 25.0 0.0,보라매경남아너스빌,19,2005.0,신길동,영등포구,72121.188,850.586,29474.14285714286,221.0,"{'lat': '37.4948797805032', 'lng': '126.909888661947'}",37.4948797805032,126.909888661947,0.5782503240308245,2.285323302714613,3.724156277561836,2.2246616141980624,0.4329366314454421,2.3258167806171746,1,0,0,0
2045,253331,2021-05-05,54000,84.9,번동 148-494,오현로 140.0 0.0,현대(148-494),13,1997.0,번동,강북구,54251.398,639.004,20166.0,65.0,"{'lat': '37.6250540610005', 'lng': '127.037447480684'}",37.6250540610005,127.037447480684,1.0255190258698252,0.34686551307798275,1.053743155324062,3.6728056526751987,1.3117267863306585,1.4872645843658543,0,0,0,1
2046,161870,2019-09-10,120000,84.78,신도림동 646,경인로65길 16.0 15.0,대림e-편한세상4,16,2003.0,신도림동,구로구,134172.098,1582.591,24722.0,114.0,"{'lat': '37.5106003394881', 'lng': '126.886846789329'}",37.5106003394881,126.886846789329,0.444328855960265,3.1398801547018014,2.0260268521961926,2.0532220756182094,2.2427589141002238,0.31952170324245605,0,0,0,0
2047,117621,2018-08-22,60000,84.76,제기동 1212,고산자로 534.0 0.0,한신아파트,21,2004.0,제기동,동대문구,66318.557,782.428,22523.0,35.0,"{'lat': '37.5888514825052', 'lng': '127.0391170512'}",37.5888514825052,127.0391170512,0.30937544419928176,1.7316008781483423,1.5009682481547546,1.0204214575938475,0.3294607106399879,1.0148146628780754,1,0,0,0
2050,33619,2021-07-05,138000,84.77,대흥동 660,독막로 266.0 0.0,마포태영,18,1999.0,대흥동,마포구,140119.746,1652.94,24575.33333333333,102.0,"{'lat': '37.5447306086576', 'lng': '126.942570708808'}",37.5447306086576,126.942570708808,0.34095778775619456,1.4277326218717177,0.5054562845788938,1.959173517482471,0.5791736301845741,0.47561951462022983,1,0,1,0
2051,27817,2019-07-05,75000,84.93,창전동 437,서강로 95.0 0.0,창전래미안,6,1998.0,창전동,마포구,84671.009,996.951,17655.0,65.0,"{'lat': '37.5512308823936', 'lng': '126.930994059899'}",37.5512308823936,126.930994059899,0.42206365790039335,0.18487301150237906,0.5482842730890651,1.5091180210986477,0.7609573548371663,0.5717278274782902,1,0,1,0
