거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"26,400",,2002,2017,언주로,00427,00000,11680,01,0,3005086,역삼동,0720,0025,11680,10100,1,대우디오빌,1,1,11680-275,30.03,,720-25,11680,11,,
"43,000",,2002,2017,도곡로33길,00016,00000,11680,01,0,4166227,역삼동,0783,0003,11680,10100,1,갤러리하우스,1,2,11680-271,66.41,,783-3,11680,4,,
"150,000",,2016,2017,언주로,00420,00000,11680,00,,3005086,역삼동,0711,0003,11680,10100,1,역삼자이,1,2,11680-4515,114.019,,711-3,11680,7,,
"89,500",,2005,2017,선릉로69길,00020,00000,11680,01,0,4166489,역삼동,0755,0004,11680,10100,1,e-편한세상,1,3,11680-3622,59.606,,755-4,11680,7,,
"26,500",,2001,2017,언주로86길,00011,00000,11680,01,0,4166619,역삼동,0706,0020,11680,10100,1,한화진넥스빌,1,5,11680-249,39.2,,706-20,11680,23,,
"79,500",,1997,2017,언주로,00316,00000,11680,01,0,3005086,역삼동,0761,0010,11680,10100,1,대림역삼,1,10,11680-236,84.96,,761-10,11680,17,,
"131,000",,2010,2017,도곡로43길,00021,00000,11680,01,0,4166233,역삼동,0762,0003,11680,10100,1,래미안그레이튼(진달래2차),1,10,11680-3905,120.37,,762-3,11680,22,,
"88,000",,2005,2017,선릉로69길,00019,00000,11680,01,0,4166489,역삼동,0757,0000,11680,10100,1,역삼래미안,1,10,11680-3621,59.4,,757,11680,6,,
"80,000",,2003,2017,도곡로7길,00022,00000,11680,01,0,4166246,역삼동,0835,0067,11680,10100,1,금호어울림,1,10,11680-411,84.95,,835-67,11680,2,,
"57,800",,2002,2017,언주로,00427,00000,11680,01,0,3005086,역삼동,0720,0025,11680,10100,1,대우디오빌,1,11,11680-275,59.505,,720-25,11680,21,,
"64,000",,2007,2017,언주로69길,00031,00000,11680,01,0,4166610,역삼동,0778,0000,11680,10100,1,쎄비앙101동,1,11,11680-3720,116.82,,778,11680,2,,
"87,500",,2006,2017,언주로,00332,00000,11680,01,0,3005086,역삼동,0754,0001,11680,10100,1,역삼푸르지오,1,11,11680-3643,59.8848,,754-1,11680,21,,
"97,500",,2003,2017,도곡로7길,00022,00000,11680,01,0,4166246,역삼동,0835,0067,11680,10100,1,금호어울림,1,12,11680-411,133.77,,835-67,11680,5,,
"83,000",,2006,2017,언주로,00332,00000,11680,01,0,3005086,역삼동,0754,0001,11680,10100,1,역삼푸르지오,1,12,11680-3643,59.8848,,754-1,11680,6,,
"56,300",,2004,2017,역삼로,00171,00000,11680,01,0,3122008,역삼동,0747,0005,11680,10100,1,브라운스톤역삼,1,13,11680-496,59.96,,747-5,11680,11,,
"26,750",,2001,2017,언주로86길,00011,00000,11680,01,0,4166619,역삼동,0706,0020,11680,10100,1,한화진넥스빌,1,14,11680-249,42.52,,706-20,11680,13,,
"85,000",,2005,2017,선릉로69길,00019,00000,11680,01,0,4166489,역삼동,0757,0000,11680,10100,1,역삼래미안,1,15,11680-3621,59.65,,757,11680,7,,
