거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"29,000",,1988,2017,양재대로134길,00087,00000,11740,01,0,4172251,명일동,0251,0001,11740,10100,1,현대(명일),1,4,11740-16,57.09,,251-1,11740,12,,
"37,500",,1999,2017,상암로51길,00054,00000,11740,00,0,4172138,명일동,0332,0000,11740,10100,1,명일엘지,1,7,11740-3,59.79,,332,11740,17,,
"46,000",,1983,2017,고덕로,00210,00000,11740,01,0,3124001,명일동,0015,0000,11740,10100,1,삼익그린2차,1,9,11740-7,54.81,,15,11740,12,,
"48,000",,1999,2017,상암로51길,00061,00000,11740,01,0,4172138,명일동,0332,0000,11740,10100,1,명일엘지,1,10,11740-3,84.9,,332,11740,17,,
"37,000",,1983,2017,고덕로,00210,00000,11740,01,0,3124001,명일동,0015,0000,11740,10100,1,삼익그린2차,1,11,11740-7,42.93,,15,11740,11,,
"39,000",,2004,2017,상암로,00210,00032,11740,01,0,3124003,명일동,0357,0000,11740,10100,1,에스엠해그린,1,11,11740-350,84.58,,357,11740,1,,
"70,000",,1986,2017,동남로71길,00019,00000,11740,01,0,4172095,명일동,0054,0000,11740,10100,1,한양,1,11,11740-14,106.64,,54,11740,14,,
"41,000",,1984,2017,상암로,00224,00000,11740,01,0,3124003,명일동,0270,0000,11740,10100,1,삼익가든,1,14,11740-4,66.87,,270,11740,7,,
"54,000",,1985,2017,상암로,00251,00000,11740,01,0,3124003,명일동,0257,0000,11740,10100,1,고덕주공9,1,16,11740-1,83.52,,257,11740,15,,
"77,000",,1983,2017,고덕로,00210,00000,11740,01,0,3124001,명일동,0015,0000,11740,10100,1,삼익그린2차,1,17,11740-7,107.56,,15,11740,2,,
"54,000",,1985,2017,상암로,00251,00000,11740,01,0,3124003,명일동,0257,0000,11740,10100,1,고덕주공9,1,20,11740-1,83.93,,257,11740,14,,
"38,500",,1999,2017,상암로51길,00061,00000,11740,01,0,4172138,명일동,0332,0000,11740,10100,1,명일엘지,1,23,11740-3,59.79,,332,11740,22,,
"51,000",,1983,2017,고덕로,00210,00000,11740,01,0,3124001,명일동,0015,0000,11740,10100,1,삼익그린2차,1,25,11740-7,66.87,,15,11740,5,,
"54,000",,1985,2017,상암로,00251,00000,11740,01,0,3124003,명일동,0257,0000,11740,10100,1,고덕주공9,1,26,11740-1,83.93,,257,11740,14,,
"47,800",,1999,2017,상암로51길,00061,00000,11740,01,0,4172138,명일동,0332,0000,11740,10100,1,명일엘지,1,26,11740-3,84.9,,332,11740,14,,
"72,500",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,7,11740-4214,84.83,,688,11740,16,,
"40,500",,1995,2017,고덕로61길,00037,00000,11740,01,0,4172031,고덕동,0312,0000,11740,10200,1,배재현대,1,10,11740-28,59.94,,312,11740,2,,
"58,500",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,10,11740-4214,59.35,,688,11740,9,,
"71,000",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,11,11740-4214,84.88,,688,11740,33,,
"62,500",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,12,11740-4214,59.23,,688,11740,11,,
"64,000",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,14,11740-4214,59.96,,688,11740,13,,
"70,700",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,15,11740-4214,84.88,,688,11740,16,,
"72,500",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,16,11740-4214,84.9,,688,11740,21,,
"60,000",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,17,11740-4214,59.96,,688,11740,14,,
"80,100",,2016,2017,,,,,00,0,,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,18,11740-4214,97,,688,11740,13,,
"85,000",,2011,2017,동남로79길,00026,00000,11740,01,0,4172098,고덕동,0499,0000,11740,10200,1,고덕 아이파크,1,19,11740-2894,114.98,,499,11740,10,,
"70,800",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,19,11740-4214,84.9,,688,11740,11,,
"69,400",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,22,11740-4214,84.83,,688,11740,9,,
"70,800",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,22,11740-4214,84.83,,688,11740,13,,
"73,500",,2016,2017,아리수로50길,00050,00000,11740,00,,4172194,고덕동,0688,0000,11740,10200,1,래미안힐스테이트고덕,1,26,11740-4214,84.94,,688,11740,18,,
"52,000",,1983,2017,상일로11길,00095,00000,11740,01,0,4172148,상일동,0131,0000,11740,10300,1,주공5,1,2,11740-35,55.12,,131,11740,3,,
"64,000",,1983,2017,상일로11길,00025,00000,11740,01,0,4172148,상일동,0124,0000,11740,10300,1,주공6,1,3,11740-36,65.16,,124,11740,3,,
"52,000",,1983,2017,상일로11길,00095,00000,11740,01,0,4172148,상일동,0131,0000,11740,10300,1,주공5,1,4,11740-35,55.12,,131,11740,2,,
"52,900",,1983,2017,고덕로80길,00013,00000,11740,01,0,4172034,상일동,0121,0000,11740,10300,1,주공3,1,5,11740-33,41.62,,121,11740,1,,
