거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"96,000",,2006,2017,방배로37길,00026,00009,11650,01,0,4163272,방배동,0776,0003,11650,10100,1,쌍용예가클래식,1,3,11650-265,121.0751,,776-3,11650,9,,
"45,000",,2004,2017,방배로33길,00029,00000,11650,01,0,4163268,방배동,0816,0001,11650,10100,1,한신트리플,1,3,11650-590,61.16,,816-1,11650,9,,
"102,800",,1981,2017,효령로,00164,00000,11650,01,0,3121021,방배동,0988,0001,11650,10100,1,신동아,1,3,11650-322,102.65,,988-1,11650,2,,
"77,800",,1992,2017,효령로,00084,00000,11650,01,0,3121021,방배동,1038,0000,11650,10100,1,대우(효령),1,5,11650-272,84.91,,1038,11650,12,,
"105,000",,1977,2017,동광로19길,00051,00000,11650,01,0,4163118,방배동,0775,0001,11650,10100,1,래미안방배에버뉴,1,5,11650-3181,181.481,,775-1,11650,5,,
"74,000",,1991,2017,방배선행길,00001,00000,11650,01,0,4163671,방배동,2525,0000,11650,10100,1,방배우성,1,5,11650-331,84.99,,2525,11650,2,,
"80,500",,1981,2017,효령로34길,00079,00000,11650,01,0,4163634,방배동,1018,0001,11650,10100,1,삼익,1,7,11650-305,88.26,,1018-1,11650,2,,
"106,500",,2013,2017,방배천로18길,00011,00000,11650,01,0,4163687,방배동,0424,0028,11650,10100,1,롯데캐슬아르떼,1,7,11650-4044,84.9321,,424-28,11650,5,,
"97,000",,2004,2017,남부순환로,02311,00012,11650,01,0,2000003,방배동,1008,0002,11650,10100,1,래미안방배아트힐(1008-2),1,7,11650-658,127.31,,1008-2,11650,1,,
"117,000",,1985,2017,방배로,00014,00000,11650,01,0,3121010,방배동,1015,0000,11650,10100,1,임광,1,7,11650-341,136.38,,1015,11650,9,,
"115,800",,2013,2017,방배천로18길,00011,00000,11650,01,0,4163687,방배동,0424,0028,11650,10100,1,롯데캐슬아르떼,1,9,11650-4044,84.9145,,424-28,11650,16,,
"33,500",,2004,2017,방배로33길,00029,00000,11650,01,0,4163268,방배동,0816,0001,11650,10100,1,한신트리플,1,10,11650-590,43.93,,816-1,11650,12,,
"102,000",,1980,2017,방배로,00021,00000,11650,01,0,3121010,방배동,1028,0001,11650,10100,1,경남,1,11,11650-263,105.47,,1028-1,11650,2,,
"65,000",,2003,2017,동광로,00105,00000,11650,01,0,3121004,방배동,0001,0007,11650,10100,1,방배동갤러리하우스3,1,11,11650-618,103.65,,1-7,11650,3,,
"115,000",,1985,2017,방배로,00014,00000,11650,01,0,3121010,방배동,1015,0000,11650,10100,1,임광,1,11,11650-341,136.38,,1015,11650,3,,
"69,000",,1992,2017,효령로,00084,00000,11650,01,0,3121021,방배동,1038,0000,11650,10100,1,대우(효령),1,12,11650-272,84.91,,1038,11650,1,,
"91,700",,2006,2017,동광로3길,00018,00000,11650,01,0,4163128,방배동,3277,0000,11650,10100,1,방배아이파크,1,12,11650-3299,84.66,,3277,11650,6,,
"76,800",,2007,2017,동광로24길,00022,00000,11650,01,0,4163121,방배동,0808,0010,11650,10100,1,벨루체팰리스,1,13,11650-3414,118.36,,808-10,11650,1,,
"86,000",,2003,2017,서초대로34가길,00036,00000,11650,01,0,4163402,방배동,0890,0008,11650,10100,1,신호나이스빌,1,14,11650-567,146.58,,890-8,11650,4,,
"159,000",,2013,2017,방배로32길,00109,00000,11650,01,0,4163267,방배동,0799,0008,11650,10100,1,써니힐즈,1,14,11650-3867,114.28,,799-8,11650,1,,
"75,000",,2006,2017,방배로19길,00067,00000,11650,01,0,4163255,방배동,0930,0001,11650,10100,1,방배브라운가,1,14,11650-569,84.94,,930-1,11650,5,,
"141,500",,2003,2017,방배로18길,00067,00000,11650,01,0,4163254,방배동,0888,0053,11650,10100,1,방배자이,1,15,11650-512,194.92,,888-53,11650,6,,
"200,000",,2002,2017,방배로28길,00090,00000,11650,01,0,4163263,방배동,0847,0034,11650,10100,1,방배대우유로카운티,1,16,11650-399,216.15,,847-34,11650,4,,
"105,500",,2004,2017,남부순환로,02311,00012,11650,01,0,2000003,방배동,1008,0002,11650,10100,1,래미안방배아트힐(1008-2),1,17,11650-658,127.61,,1008-2,11650,19,,
"113,000",,2013,2017,방배천로18길,00011,00000,11650,01,0,4163687,방배동,0424,0028,11650,10100,1,롯데캐슬아르떼,1,17,11650-4044,84.974,,424-28,11650,3,,
"75,000",,2006,2017,방배천로,00011,00000,11650,01,0,3121012,방배동,0444,0003,11650,10100,1,SK리더스뷰(파스텔시티),1,18,11650-3325,84.86,,444-3,11650,13,,
"88,500",,2006,2017,동광로1길,00112,00000,11650,01,0,4163119,방배동,0754,0001,11650,10100,1,롯데캐슬헤론,1,21,11650-3317,95.66,,754-1,11650,17,,
"80,500",,2006,2017,방배천로,00011,00000,11650,01,0,3121012,방배동,0444,0003,11650,10100,1,SK리더스뷰(파스텔시티),1,21,11650-3325,84.95,,444-3,11650,21,,
"86,100",,2005,2017,남부순환로,02183,00000,11650,01,0,2000003,방배동,0485,0003,11650,10100,1,방배래미안타워,1,22,11650-759,103.34,,485-3,11650,6,,
"72,000",,1999,2017,서초대로1길,00030,00000,11650,01,0,4163389,방배동,1344,0000,11650,10100,1,방배1차현대홈타운,1,23,11650-290,59.94,,1344,11650,3,,
"100,000",,2004,2017,서초대로33길,00084,00028,11650,01,0,4163401,방배동,0843,0010,11650,10100,1,상지리츠빌6차,1,23,11650-733,129.75,,843-10,11650,6,,
"66,000",,2003,2017,명달로,00033,00000,11650,01,0,3121008,방배동,1002,0010,11650,10100,1,삼환나띠르빌(1002-10),1,23,11650-486,92.93,,1002-10,11650,2,,
"109,000",,2004,2017,남부순환로,02311,00012,11650,01,0,2000003,방배동,1008,0002,11650,10100,1,래미안방배아트힐(1008-2),1,24,11650-658,127.61,,1008-2,11650,14,,
"147,000",,2004,2017,방배로,00278,00000,11650,01,0,3121010,방배동,3275,0000,11650,10100,1,동부센트레빌,1,24,11650-659,157.559,,3275,11650,8,,
"93,000",,1999,2017,서초대로1길,00030,00000,11650,01,0,4163389,방배동,1344,0000,11650,10100,1,방배1차현대홈타운,1,25,11650-290,84.96,,1344,11650,4,,
"80,500",,1981,2017,효령로34길,00079,00000,11650,01,0,4163634,방배동,1018,0001,11650,10100,1,삼익,1,25,11650-305,88.26,,1018-1,11650,2,,
"96,800",,2005,2017,서초대로26길,00019,00000,11650,01,0,4163394,방배동,0899,0016,11650,10100,1,브라운스톤방배,1,31,11650-630,84.96,,899-16,11650,5,,
"53,500",,2002,2017,바우뫼로39길,00088,00007,11650,01,0,4163214,양재동,0008,0036,11650,10200,1,태양파크빌,1,6,11650-477,78.68,,8-36,11650,3,,
"75,000",,1991,2017,바우뫼로,00091,00000,11650,01,0,3121009,양재동,0154,0002,11650,10200,1,우성,1,7,11650-440,84.58,,154-2,11650,3,,
"36,800",,2002,2017,논현로27길,00057,00000,11650,01,0,4163097,양재동,0090,0000,11650,10200,1,신영체르니,1,7,11650-461,39.1,,90,11650,3,,
"29,500",,2002,2017,논현로27길,00057,00000,11650,01,0,4163097,양재동,0090,0000,11650,10200,1,신영체르니,1,12,11650-461,32.08,,90,11650,6,,
"76,500",,1991,2017,바우뫼로,00091,00000,11650,01,0,3121009,양재동,0154,0002,11650,10200,1,우성,1,17,11650-440,84.58,,154-2,11650,10,,
"36,600",,2002,2017,논현로27길,00057,00000,11650,01,0,4163097,양재동,0090,0000,11650,10200,1,신영체르니,1,21,11650-461,39.1,,90,11650,6,,
"115,000",,1995,2017,바우뫼로7길,00051,00000,11650,01,0,4163219,우면동,0057,0000,11650,10300,1,대림,1,8,11650-479,130.89,,57,11650,6,,
"85,000",,2013,2017,태봉로2길,00060,00000,11650,01,0,4163582,우면동,0717,0000,11650,10300,1,서초네이처힐3단지,1,10,11650-3864,84.77,,717,11650,5,,
"96,500",,2013,2017,양재대로2길,00109,00000,11650,01,0,4163748,우면동,0753,0000,11650,10300,1,서초호반써밋,1,18,11650-3963,118.0151,,753,11650,3,,
"102,700",,2013,2017,양재대로2길,00109,00000,11650,01,0,4163748,우면동,0753,0000,11650,10300,1,서초호반써밋,1,19,11650-3963,118.1321,,753,11650,17,,
"23,000",,2014,2017,양재대로2길,00100,00011,11650,01,0,4163748,우면동,0764,0000,11650,10300,1,계룡리슈빌S,1,21,11650-4065,30.89,,764,11650,6,,
"70,000",,1995,2017,바우뫼로7길,00029,00000,11650,01,0,4163219,우면동,0059,0000,11650,10300,1,동고,1,26,11650-480,84.96,,59,11650,4,,
