거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"50,000",,1992,2017,충정로7길,00030,00000,11410,01,0,4136370,충정로2가,0185,0015,11410,10100,1,현대,1,23,11410-1,83.63,,185-15,11410,7,,
"45,000",,2010,2017,충정로5길,00027,00000,11410,01,0,4136367,충정로3가,0477,0000,11410,10200,1,충림예하임,1,3,11410-3939,84.6,,477,11410,5,,
"42,100",,2003,2017,경기대로7길,00019,00000,11410,01,0,4136051,충정로3가,0003,0019,11410,10200,1,새롬,1,10,11410-140,97.74,,3-19,11410,4,,
"18,500",,1969,2017,충정로7길,00009,00000,11410,02,0,4136370,충정로3가,0189,0008,11410,10200,1,미동,1,12,11410-3,55.009,,189-8,11410,6,,
"51,500",,2008,2017,경기대로,00026,00007,11410,02,0,3112004,충정로3가,0466,0000,11410,10200,1,우리유앤미,1,18,11410-3607,84.73,,466,11410,13,,
"45,750",,2005,2017,경기대로3길,00019,00005,11410,01,0,4136049,충정로3가,0030,0002,11410,10200,1,충정솔레디움(102동),1,19,11410-287,80.47,,30-2,11410,4,,
"34,900",,2006,2017,경기대로5길,00023,00000,11410,01,0,4136050,충정로3가,0003,0046,11410,10200,1,행복한,1,21,11410-3582,53.64,,3-46,11410,5,,
"53,000",,2008,2017,경기대로,00026,00007,11410,02,0,3112004,충정로3가,0466,0000,11410,10200,1,우리유앤미,1,30,11410-3607,83.77,,466,11410,18,,
"84,500",,2011,2017,독립문로14길,00033,00000,11410,01,0,4136058,냉천동,0261,0000,11410,10500,1,돈의문센트레빌,1,4,11410-3906,114.98,,261,11410,10,,
"65,000",,2011,2017,독립문로14길,00033,00000,11410,01,0,4136058,냉천동,0261,0000,11410,10500,1,돈의문센트레빌,1,10,11410-3906,84.99,,261,11410,1,,
"55,000",,2011,2017,독립문로14길,00033,00000,11410,01,0,4136058,냉천동,0261,0000,11410,10500,1,돈의문센트레빌,1,15,11410-3906,59.98,,261,11410,3,,
"57,000",,2011,2017,독립문로14길,00033,00000,11410,01,0,4136058,냉천동,0261,0000,11410,10500,1,돈의문센트레빌,1,16,11410-3906,59.98,,261,11410,7,,
"44,950",,2006,2017,독립문로8길,00054,00000,11410,04,0,4136063,천연동,0145,0000,11410,10600,1,천연뜨란채,1,8,11410-3569,55.85,,145,11410,14,,
"53,100",,2006,2017,독립문로8길,00054,00000,11410,04,0,4136063,천연동,0145,0000,11410,10600,1,천연뜨란채,1,20,11410-3569,75.8,,145,11410,11,,
"56,500",,1995,2017,독립문로,00010,00000,11410,04,0,3112005,영천동,0100,0000,11410,10800,1,독립문삼호,1,5,11410-9,108.63,,100,11410,13,,
"48,000",,1995,2017,독립문로,00010,00000,11410,04,0,3112005,영천동,0100,0000,11410,10800,1,독립문삼호,1,11,11410-9,75.66,,100,11410,18,,
"48,000",,1995,2017,독립문로,00010,00000,11410,04,0,3112005,영천동,0100,0000,11410,10800,1,독립문삼호,1,14,11410-9,75.66,,100,11410,9,,
