공원명,면적,개원일,주요시설,지역,공원주소,경도,위도
중랑캠핑숲,179666㎥,2010.11.20 ,조경시설  수경시설 : 2900㎡(분수연못 1120 테라스연못 440 계류 720 건천 620) 잔디광장 : 5000㎡(청소년문화존/Wi-Fi) 산 책 로 : 1767㎡(산책로 797 등산로 970) 조경수목 : 82473주(교목 2411 관목 80062) 기타녹지 : 90480㎡(지피식물 6000 잔디 14480 녹지 70000 초화 164000본)       휴양시설  캠 핑 장 : 47면(37200㎡/관리사무소 1동 화장실 1동 식기세척장 1동 운동시설 등)       교양시설  청소년독서실 : 936㎡(2층) 청소년커뮤니티센터 : 390㎡(3층) 생태학습존 청소년문화존 일부 : 24400㎡   관리시설 관리사무소 : 576㎡(공원 196 캠핑장 380/ 스파 화장실 매점 등) 주 차 장 : 68면(청소년문화존 58 가족캠프존 10) 공 원 등 : 136주 (공원등 90 보안등 46) ,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),127.1093075,37.6049896
솔밭근린공원,34955㎡,2004.1.28,조경시설 : 실개울 벽천 분수 생태연못 그늘시렁 등 편의시설 : 화장실 음수대 등 관리시설 : 관리사무소 공원등 안내표지판 등 기반시설 : 놀이마당 배드민턴장 어린이놀이터 산책로 데크광장 ,강북구,서울특별시 강북구 우이동 80번지 일대,127.0116241,37.652331
금천체육공원(관악산),18083㎡,2001.6.1,야외무대 농구장 배드민턴장 그날막 조합놀이대 연못 장승 목재데크 황토길 지압로 분수,금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),126.908681,37.468164
금천폭포근린공원,4835㎡,2008.10.20,문화회관 2020㎡ 인공폭포(L30 x H12m) 공원시설 전망대 등,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),126.9040127,37.4468663
만수천공원(관악산),19650 ㎡,2008.9.12,체육시설 : 생활체육시설 독산테니스장(8면) 배드민턴장(2개소) 다목적 광장 편익시설 : 정자(3동) 화장실(2개소) 만수천 약수터,금천구,서울특별시 금천구 독산동 산8 일대,126.9090028,37.4734274
발바닥공원,7000㎡,2002,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 운동시설 : 체력단련시설 편익시설 : 화장실 지압보도 관리시설 : 도봉환경교실,도봉구,서울특별시 도봉구 시루봉로6길 33,127.031982,37.6597135
월천근린공원,10712㎡,1988,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 장의자 운동시설 : 배드민턴장 체력단련시설 유희시설 : 그네 미끄럼틀 시솔 조합놀이대 등 편익시설 : 화장실 음수대 관리시설 : 공원등 안내판,도봉구,서울특별시 도봉구 창동 28번지,127.0509895,37.6473889
용두근린공원,17182㎡,2010.3.25,조경시설 : 연못 계류 분수 그늘시렁 편의시설 : 음수대 휴게소 야외전시장 야외전시벽 놀이터 관리시설 : 공원안내판 관리동 기반시설 : 도로 진입광장 휴게광장 ,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,127.0390042,37.5732791
상암근린공원,160349.3㎡,2006.1.1,조경시설 : 생태연못 생태습지 암석원 그늘시렁 정자 등 편의시설 : 화장실 연식의자 등 관리시설 : 종합안내판 공원등 관리사무소 모유수유실 유모차대여소 등 기반시설 : 운동기구(어깨손목돌리기 등 7종 10조) ,마포구,서울특별시 마포구 상암동 1761,126.8859012,37.5760106
와우근린공원,87432.4㎡,1940.3.12,배드민턴장 약수터 농구장 조깅트랙 체력단련장 지압보도 광장,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),126.9289936,37.5517298
금호근린공원,13467㎡   ,1976.5.3 ,체육관 경로당 청소년 문화회관 어린이집 그늘시렁 음수대 평의자 등의자 운동시설물 공원등 종합안내간판 등 ,성동구,서울특별시 성동구 장터1길 18,127.0189457,37.5494726
달맞이근린공원,46871㎡,2007.12.2,경로당 어린이놀이터 배드민턴장 화장실 음수대 공원등,성동구,서울특별시 성동구 옥수동 산1-1,127.0212054,37.543564
문정근린공원,49972㎡,2006.3,조경시설 : 바닥분수 초가정자 사각정자 휴게벤치 등 기반시설 : 경화토포장로 마사토산책로 등 ,송파구,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156
문화예술공원,74385㎡,1994.10.25,놀이마당 중앙광장 잔디광장 야외무대 원두막 1동 조각작품 12개소 모래놀이터 등 ,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654
세종로공원,8868㎡ ,2010.11.12,휴게?편익공간 : 야외무대 382㎡ 매점 18㎡ 디자인파라솔 2개소 야외테이블 14개 등 상징광장 : 조선시대 사헌부 및 병조터 흔적복원 490㎡ 한글글자마당 : 168㎡(전국민 공모 11172자로 구성) ,종로구,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735
샘말공원(관악산),10634㎡ ,2009.9.29,조경시설 : 바닥분수 음수전 육각정자 파고라 유희시설 : 조합놀이대 1조 놀이시설 2종 3점 운동시설 : 허리돌리기 팔올리기운동 옆회전운동 등 11점 지압보도 편의시설 : 화장실 관리시설 : 관리사무실 공원등 27본 ,관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128
초안산생태공원,22113㎡,2012.4.6,조경시설 : 잔디광장 계류 생태연못 녹지대 편의시설 : 음수대 유희시설 : 조합놀이대 시소 그네 운동시설 : 생활체육시설 관리시설 : CCTV 공원등 공원안내판 유희시설 : 산책로 중앙진입로 ,도봉구,서울특별시 도봉구 창동 산24,127.0405382,37.6479483
청계산도시자연공원,3692455㎡   ,1971.8 6,정자 4동 파고라 약수터 화장실 등,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347
개화근린공원,386500㎡,1997.7.9,약사사 약사사 3층석탑 미타사 약수터 6?25전사자위령탑 운동시설 등,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917
아차산생태공원,23450㎡,2002.3,남의광장 생태자료실 자생식물원 나비공원 습지원 황톳길 지압보도 및 약수터,광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142
우면산도시자연공원,4180551㎡,1971.8.6,약수터 정자 화장실 등,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484
광평근린공원,519782㎡ ,1971.8.6 ,사당 재실 종회당 ,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445
청담근린공원,59347㎡ ,1990.4.30 ,청소년회관 시비광장 실개천 배드민턴장 농구장 약수터 운동광장 등 ,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259
허브천문공원,25500㎡ ,2006.9.21 ,유리온실 관천대 전망데크 휴게데크 그늘막 별자리조명 등 ,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715
연신내물빛공원,2560㎡ ,2001.10.31 ,일출분수 파발벽천 수로 등  ,은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052
나들이근린공원,32000㎡ ,2007.7.18 ,잔디마당 맨발광장 뜀동산 피크닉장 야생초화원 농촌체험장 ,중랑구,서울특별시 중구 망우동 산 30-7 일대,127.113261,37.6054218
서일대뒷산공원,631021㎡ ,1992.8.15 ,순국선열 추념탑 348㎡ 높이 22.3m ,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155
용마도시자연공원(사가정공원),109635㎡ ,2005.4.13 ,피크닉장 놀이터 체력단련장 체육관  ,중랑구,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622
문화비축기지,140022㎡,2017.9.1,6개의탱크와 문화마당 녹지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848
율현공원,157535㎡,2016.11.1,관리시설 : 사무실 조경시설 : 정자(4개) 조형쉼터(10개) 조형파고라(3개) 수경시설 운동시설 : 게이트볼장 다목적구장 체력단련시설 편익시설 : 화장실(2개) 음수대(3개) 근로자대기실 유희시설 : 어린이놀이터(2개) ,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),127.115594,37.472332
